tournament,source,team,team_slug,player_id,squad_number,position,first_name,last_name,full_name,shirt_name,birth_date,club,height_cm,head_coach,is_final_26,is_official_fifa,observation_only,betting_recommendation,affects_v4
FIFA World Cup 2026,FIFA official final 26 squad docx,Canada,canada,wc2026_canada_06_choiniere_mathieu,6,MF,Mathieu,CHOINIÈRE,CHOINIERE Mathieu,CHOINIÈRE,1999-02-07,LAFC (USA),173,MARSCH Jesse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Canada,canada,wc2026_canada_07_eustaquio_stephen,7,MF,Stephen,ANTUNES EUSTÁQUIO,EUSTAQUIO Stephen,EUSTÀQUIO,1996-12-21,LAFC (USA),175,MARSCH Jesse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Canada,canada,wc2026_canada_08_kone_ismael,8,MF,Ismael Kenneth Jordan,KONÉ,KONE Ismael,KONÉ,2002-06-16,US Sassuolo (ITA),188,MARSCH Jesse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Canada,canada,wc2026_canada_09_larin_cyle,9,FW,Cyle Christopher,LARIN,LARIN Cyle,LARIN,1995-04-17,Southampton FC (ENG),188,MARSCH Jesse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Canada,canada,wc2026_canada_10_david_jonathan,10,FW,Jonathan Christian,DAVID,DAVID Jonathan,J. DAVID,2000-01-14,Juventus FC (ITA),175,MARSCH Jesse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Canada,canada,wc2026_canada_11_millar_liam,11,MF,Liam Alan,MILLAR,MILLAR Liam,MILLAR,1999-09-27,Hull City FC (ENG),176,MARSCH Jesse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Canada,canada,wc2026_canada_12_oluwaseyi_tani,12,FW,Tanitoluwa Oluwatimilehin,OLUWASEYI,OLUWASEYI Tani,OLUWASEYI,2000-05-15,Villarreal CF (ESP),187,MARSCH Jesse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Canada,canada,wc2026_canada_13_cornelius_derek,13,DF,Derek Austin,CORNELIUS,CORNELIUS Derek,CORNELIUS,1997-11-25,Rangers FC (SCO),186,MARSCH Jesse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Canada,canada,wc2026_canada_14_shaffelburg_jacob,14,MF,Jacob Everett,SHAFFELBURG,SHAFFELBURG Jacob,SHAFFELBURG,1999-11-26,LAFC (USA),181,MARSCH Jesse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Canada,canada,wc2026_canada_15_bombito_moise,15,DF,Moïse Bombito,LUMPUNGU,BOMBITO Moise,BOMBITO,2000-03-30,OGC Nice (FRA),190,MARSCH Jesse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Canada,canada,wc2026_canada_16_crepeau_maxime,16,GK,Maxime,CRÉPEAU,CREPEAU Maxime,CRÉPEAU,1994-05-11,Orlando City SC (USA),185,MARSCH Jesse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Canada,canada,wc2026_canada_17_buchanan_tajon,17,FW,Tajon Trevor,BUCHANAN,BUCHANAN Tajon,BUCHANAN,1999-02-08,Villarreal CF (ESP),183,MARSCH Jesse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Canada,canada,wc2026_canada_18_goodman_owen,18,GK,Owen Olamidayo,GOODMAN,GOODMAN Owen,GOODMAN,2003-11-27,Barnsley (ENG),193,MARSCH Jesse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Canada,canada,wc2026_canada_19_davies_alphonso,19,DF,Alphonso Boyle,DAVIES,DAVIES Alphonso,DAVIES,2000-11-02,FC Bayern München (GER),183,MARSCH Jesse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Canada,canada,wc2026_canada_20_ahmed_ali,20,FW,Ali,AHMED,AHMED Ali,AHMED,2000-10-10,Norwich City FC (ENG),180,MARSCH Jesse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Canada,canada,wc2026_canada_21_osorio_jonathan,21,MF,Jonathan,OSORIO,OSORIO Jonathan,OSORIO,1992-06-12,Toronto FC (CAN),175,MARSCH Jesse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Canada,canada,wc2026_canada_22_laryea_richie,22,DF,Richmond Mamah,LARYEA,LARYEA Richie,LARYEA,1995-01-07,Toronto FC (CAN),175,MARSCH Jesse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Canada,canada,wc2026_canada_23_sigur_niko,23,DF,Niko Kristian,SIGUR,SIGUR Niko,SIGUR,2003-09-09,HNK Hajduk Split (CRO),178,MARSCH Jesse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Canada,canada,wc2026_canada_24_david_promise,24,FW,Promise Oluwatobi Emmanuel,DAVID,DAVID Promise,PROMISE,2001-07-03,Royale Union Saint-Gilloise (BEL),195,MARSCH Jesse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Canada,canada,wc2026_canada_25_saliba_nathan,25,MF,Nathan-Dylan,SALIBA,SALIBA Nathan,SALIBA,2004-02-07,RSC Anderlecht (BEL),174,MARSCH Jesse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Canada,canada,wc2026_canada_26_flores_marcelo,26,MF,Marcelo,FLORES,FLORES Marcelo,MARCELO,2003-10-01,Tigres UANL (MEX),164,MARSCH Jesse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_01_ospina_david,1,GK,David,OSPINA RAMIREZ,OSPINA David,OSPINA,1988-08-31,Atlético Nacional (COL),183,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_02_munoz_daniel,2,DF,Daniel,MUÑOZ MEJIA,MUNOZ Daniel,D. MUÑOZ,1996-05-26,Crystal Palace FC (ENG),180,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_03_lucumi_jhon,3,DF,Jhon Janer,LUCUMI BONILLA,LUCUMI Jhon,J. LUCUMI,1998-06-26,Bologna FC (ITA),187,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_04_arias_santiago,4,DF,Santiago,ARIAS NARANJO,ARIAS Santiago,ARIAS,1992-01-13,CA Independiente (ARG),177,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_05_castano_kevin,5,MF,Kevin Duvan,CASTAÑO GIL,CASTANO Kevin,K. CASTAÑO,2000-09-29,CA River Plate (ARG),179,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_06_rios_richard,6,MF,Richard,RÍOS MONTOYA,RIOS Richard,RICHARD RIOS,2000-06-02,SL Ben ca (POR),185,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_07_diaz_luis,7,FW,Luis Fernando,DÍAZ MARULANDA,DIAZ Luis,LUIS DIAZ,1997-01-13,FC Bayern München (GER),179,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_08_carrascal_jorge,8,MF,Jorge Andres,CARRASCAL GUARDO,CARRASCAL Jorge,CARRASCAL,1998-05-25,CR Flamengo (BRA),180,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_09_cordoba_jhon,9,FW,Jhon Andrés,CÓRDOBA COPETE,CORDOBA Jhon,CORDOBA,1993-05-11,FC Krasnodar (RUS),186,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_10_rodriguez_james,10,MF,James David,RODRÍGUEZ RUBIO,RODRIGUEZ James,JAMES,1991-07-12,Minnesota United FC (USA),181,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_11_arias_jhon,11,MF,Jhon Adolfo,ARIAS ANDRADE,ARIAS Jhon,J. ARIAS,1997-09-21,SE Palmeiras (BRA),168,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_12_vargas_camilo,12,GK,Camilo Andres,VARGAS GIL,VARGAS Camilo,C. VARGAS,1989-03-09,Atlas FC (MEX),183,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_13_mina_yerry,13,DF,Yerry Fernando,MINA GONZALEZ,MINA Yerry,Y. MINA,1994-09-23,Cagliari (ITA),195,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_14_puerta_gustavo,14,DF,Gustavo Adolfo,PUERTA MOLANO,PUERTA Gustavo,PUERTA,2003-07-23,Racing Santander (ESP),173,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_15_portilla_juan,15,MF,Juan Camilo,PORTILLA OROZCO,PORTILLA Juan,PORTILLA,1998-09-12,Athletico Paranaense (BRA),181,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_16_lerma_jefferson,16,MF,Jefferson Andrés,LERMA SOLIS,LERMA Jefferson,J. LERMA,1994-10-25,Crystal Palace FC (ENG),180,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_17_mojica_johan,17,DF,Johan Andrés,MOJICA PALACIO,MOJICA Johan,J. MOJICA,1992-08-21,RCD Mallorca (ESP),184,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_18_ditta_willer,18,DF,Willer Emilio,DITTA PEREZ,DITTA Willer,W. DITTA,1998-01-23,CF Cruz Azul (MEX),179,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_19_hernandez_cucho,19,FW,Juan Camilo,HERNANDEZ SUAREZ,HERNANDEZ Cucho,C. HERNANDEZ,1999-04-20,Real Betis (ESP),176,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_20_quintero_juan,20,MF,Juan Fernando,QUINTERO PANIAGUA,QUINTERO Juan,QUINTERO,1993-01-18,CA River Plate (ARG),167,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_21_campaz_jaminton,21,FW,Jaminton Leandro,CAMPAZ,CAMPAZ Jaminton,CAMPAZ,2000-05-24,CA Rosario Central (ARG),166,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_22_machado_deiver,22,DF,Deiver,MACHADO MENA,MACHADO Deiver,MACHADO,1993-09-02,FC Nantes (FRA),173,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_23_sanchez_davinson,23,DF,Davinson,SÁNCHEZ MINA,SANCHEZ Davinson,SANCHEZ,1996-06-12,Galatasaray SK (TUR),188,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_24_montero_alvaro,24,GK,Álvaro David,MONTERO PERALES,MONTERO Alvaro,MONTERO,1995-03-29,CA Vélez Sars eld (ARG),201,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_25_suarez_luis,25,FW,Luis Javier,SUÁREZ CHARRIS,SUAREZ Luis,SUAREZ,1997-12-02,Sporting CP (POR),179,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Colombia,colombia,wc2026_colombia_26_gomez_andres,26,FW,Carlos Andrés,GÓMEZ HINESTROZA,GOMEZ Andres,A. GOMEZ,2002-09-12,CR Vasco Da Gama (BRA),170,LORENZO Nestor,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_01_mpasi_lionel,1,GK,Lionel Nzau,MPASI,MPASI Lionel,MPASI,1994-08-01,Le Havre AC (FRA),182,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_02_wan_bissaka_aaron,2,DF,Wan,BISSAKA,WAN-BISSAKA Aaron,WAN BISSAKA,1997-11-26,West Ham United FC (ENG),183,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_03_kapuadi_steve,3,DF,Steve Nkanu,KAPUADI,KAPUADI Steve,KAPUADI,1998-04-30,Widzew Łódź (POL),196,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_04_tuanzebe_axel,4,DF,Axel,TUANZEBE,TUANZEBE Axel,TUANZEBE,1997-11-14,Burnley FC (ENG),188,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_05_batubinsika_dylan,5,DF,Dylan Buduka,BATUBINSIKA,BATUBINSIKA Dylan,BATUBINSIKA,1996-02-15,AEL FC (GRE),185,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_06_mukau_ngalayel,6,MF,Ngal’ayel,MUKAU,MUKAU Ngalayel,MUKAU,2004-11-03,Lille OSC (FRA),186,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_07_mbuku_nathanael,7,MF,Nathanaël,MBUKU,MBUKU Nathanael,MBUKU,2002-03-16,Montpellier HSC (FRA),170,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_08_moutoussamy_samuel,8,MF,Samuel Alain,MOUTOUSSAMY,MOUTOUSSAMY Samuel,MOUTOUSSAMY,1996-08-12,Atromitos FC (GRE),176,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_09_cipenga_brian,9,FW,Kibambe Brian,CIPENGA,CIPENGA Brian,CIPENGA,1998-03-11,CD Castellón (ESP),172,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_10_bongonda_theo,10,MF,Theo Mbulofeko Batombo,BONGONDA,BONGONDA Theo,BONGONDA,1995-11-20,FC Spartak Moscow (RUS),176,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_11_kakuta_gael,11,FW,Mambenga Gaël Roméo,KAKUTA,KAKUTA Gael,KAKUTA,1991-06-21,AEL FC (GRE),174,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_12_kayembe_joris,12,DF,Joris,KAYEMBE-DITU,KAYEMBE Joris,J. KAYEMBE,1994-08-08,KRC Genk (BEL),180,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_13_elia_meschack,13,FW,Meschack Lina,ELIA,ELIA Meschack,ELIA,1997-08-06,Alanyaspor (TUR),173,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_14_sadiki_noah,14,MF,Noah Junior,SADIKI,SADIKI Noah,SADIKI,2004-12-17,Sunderland AFC (ENG),165,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_15_tshibola_aaron,15,MF,Tshibola,AARON,TSHIBOLA Aaron,TSHIBOLA,1995-01-02,Kilmarnock FC (SCO),184,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_16_fayulu_timothy,16,GK,Timothy Bruce Munzoko,FAYULU,FAYULU Timothy,FAYULU,1999-07-24,FC Noah (ARM),192,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_17_bakambu_cedric,17,FW,Cedric,BAKAMBU,BAKAMBU Cedric,BAKAMBU,1991-04-11,Real Betis (ESP),182,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_18_pickel_charles,18,MF,Charles Monginda,PICKEL,PICKEL Charles,PICKEL,1997-05-15,RCD Espanyol (ESP),187,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_19_mayele_fiston,19,FW,Mayele Fiston,KALALA,MAYELE Fiston,MAYELE,1994-06-24,Pyramids FC (EGY),185,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_20_wissa_yoane,20,FW,Yoane,WISSA,WISSA Yoane,WISSA,1996-09-03,Newcastle United FC (ENG),176,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_21_epolo_matthieu,21,GK,Matthieu Luka,EPOLO,EPOLO Matthieu,EPOLO,2005-01-15,Standard Liège (BEL),183,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_22_mbemba_chancel,22,DF,Mangulu Chancel,MBEMBA,MBEMBA Chancel,MBEMBA,1994-08-08,Lille OSC (FRA),182,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_23_banza_simon,23,FW,Simon Bokote,BANZA,BANZA Simon,BANZA,1996-08-13,Al Jazira (UAE),189,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_24_kalulu_gedeon,24,DF,Gédéon Tchingoma Kyatengwa,KALULU,KALULU Gedeon,G. KALULU,1997-08-29,Aris Limassol FC (CYP),178,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_25_kayembe_edo,25,MF,Edo Kayembe,KAYEMBE,KAYEMBE Edo,KAYEMBE,1998-06-03,Watford FC (ENG),183,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Congo DR,congo_dr,wc2026_congo_dr_26_masuaku_arthur,26,DF,Arthur Fuka,MASUAKU KAWELA,MASUAKU Arthur,MASUAKU,1993-11-07,RC Lens (FRA),179,DESABRE Sebastien,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_01_fofana_yahia,1,GK,Yahia,FOFANA,FOFANA Yahia,Y. FOFANA,2000-08-21,Çaykur Rizespor (TUR),194,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_02_diomande_ousmane,2,DF,Ousmane,DIOMANDE,DIOMANDE Ousmane,O. DIOMANDE,2003-12-04,Sporting CP (POR),190,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_03_konan_ghislain,3,DF,N'clomande Ghislain,KONAN,KONAN Ghislain,G. KONAN,1995-12-27,Gil Vicente FC (POR),176,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_04_seri_jean_michael,4,MF,Jean Michael,SERI,SERI Jean Michael,SERI,1991-07-19,NK Maribor (SVN),168,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_05_singo_wilfried,5,DF,Wilfried Stephane,SINGO,SINGO Wilfried,SINGO,2000-12-25,Galatasaray SK (TUR),182,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_06_fofana_seko,6,MF,Seko Mohamed,FOFANA,FOFANA Seko,FOFANA,1995-05-07,FC Porto (POR),185,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_07_kossounou_odilon,7,DF,Kouakou Odilon Dorgeless,KOSSOUNOU,KOSSOUNOU Odilon,KOSSOUNOU,2001-01-04,Atalanta Bergamo (ITA),191,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_08_kessie_franck,8,MF,Franck Yannick,KESSIE,KESSIE Franck,KESSIE,1996-12-19,Al Ahli FC (KSA),183,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_09_bonny_ange_yoan,9,FW,Ange-Yoan Laurent,BONNY,BONNY Ange-Yoan,BONNY,2003-10-25,FC Internazionale Milano (ITA),189,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_10_adingra_simon,10,FW,Simon,ADINGRA,ADINGRA Simon,ADINGRA,2002-01-01,AS Monaco (FRA),175,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_11_diomande_yan,11,FW,Yan,DIOMANDE,DIOMANDE Yan,YAN DIOMANDE,2006-11-14,RB Leipzig (GER),180,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_12_wahi_elye,12,FW,Sepe Elye Delmas,WAHI,WAHI Elye,WAHI,2003-01-02,OGC Nice (FRA),181,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_13_operi_christopher,13,DF,Christopher Tea Domoraud,OPERI,OPERI Christopher,OPERI,1997-04-29,Başakşehir FK (TUR),183,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_14_diakite_oumar,14,FW,Oumar,DIAKITE,DIAKITE Oumar,DIAKITE,2003-12-20,Cercle Brugge (BEL),182,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_15_diallo_amad,15,FW,Amad,DIALLO,DIALLO Amad,AMAD,2002-07-11,Manchester United FC (ENG),173,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_16_kone_mohamed,16,GK,Mohamed,KONE,KONE Mohamed,KONE,2002-03-07,Sporting Charleroi (BEL),186,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_17_doue_guela,17,DF,Guela Maho-Lewis,DOUE,DOUE Guela,G. DOUE,2002-10-17,RC Strasbourg (FRA),187,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_18_sangare_ibrahim,18,MF,Ibrahim,SANGARE,SANGARE Ibrahim,SANGARE,1997-12-02,Nottingham Forest FC (ENG),191,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_19_pepe_nicolas,19,FW,Nicolas,PEPE,PEPE Nicolas,PEPE,1995-05-29,Villarreal CF (ESP),183,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_20_agbadou_emmanuel,20,DF,Badobre Emmanuel Elysee Djedje,AGBADOU,AGBADOU Emmanuel,AGBADOU,1997-06-17,Beşiktaş JK (TUR),185,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_21_ndicka_evan,21,DF,Obite Evan,NDICKA,NDICKA Evan,NDICKA,1999-08-20,AS Roma (ITA),192,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_22_guessand_evann,22,FW,Evann Ludovic Vidjannagni,GUESSAND,GUESSAND Evann,GUESSAND,2001-07-01,Crystal Palace FC (ENG),188,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_23_lafont_alban,23,GK,Alban-Marc,LAFONT,LAFONT Alban,LAFONT,1999-01-23,Panathinaikos FC (GRE),196,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_24_toure_bazoumana,24,FW,Bazoumana,TOURE,TOURE Bazoumana,TOURE,2006-03-02,TSG Hoffenheim (GER),178,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_25_guiagon_parfait,25,MF,Parfait,GUIAGON,GUIAGON Parfait,GUIAGON,2001-02-22,Sporting Charleroi (BEL),165,FAE Emerse,True,True,True,False,False
FIFA World Cup 2026,FIFA official final 26 squad docx,Côte D'Ivoire,cote_d_ivoire,wc2026_cote_d_ivoire_26_oulai_christ_inao,26,MF,Christ Ravynel Inao,OULAI,OULAI Christ Inao,INAO,2006-04-06,Trabzonspor (TUR),173,FAE Emerse,True,True,True,False,False
